Country,Subject Descriptor,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Estimates Start After
Burkina Faso,Implied PPP conversion rate,National currency per current international dollar,,"See notes for:  Gross domestic product, current prices (National currency).",188.137,187.345,196.021,202.333,197.006,195.015,179.035,176.876,176.674,178.223,174.903,162.468,159.209,153.282,172.047,179.921,177.302,177.009,188.937,194.51,188.736,191.946,194.821,193.968,189.059,190.315,183.405,183.109,196.068,199.265,204.415,213.659,221.847,213.453,208.216,199.725,195.1,200.622,200.504,200.933,200.963,200.836,200.826,200.824,200.799,2018
Burkina Faso,"Inflation, average consumer prices",Index,,Source: National Statistics Office Latest actual data: 2018 Harmonized prices: No Frequency of source data: Monthly Base year: 2008 Primary domestic currency: CFA franc Data last updated: 08/2019,34.813,37.444,41.959,45.46,47.664,51.026,49.648,48.233,50.255,50.093,49.689,50.932,49.918,50.224,62.64,67.508,71.632,73.73,77.351,76.516,76.386,79.997,81.837,83.507,83.173,88.504,90.571,90.36,100,100.864,100.25,103.027,106.959,107.52,107.243,108.223,108.013,108.392,110.512,111.727,113.291,115.557,117.868,120.226,122.63,2018
Burkina Faso,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",12.259,7.556,12.058,8.346,4.847,7.054,-2.7,-2.85,4.191,-0.322,-0.807,2.502,-1.991,0.614,24.72,7.772,6.109,2.929,4.911,-1.08,-0.169,4.727,2.3,2.04,-0.4,6.409,2.336,-0.233,10.668,0.864,-0.608,2.769,3.817,0.525,-0.258,0.914,-0.194,0.351,1.956,1.1,1.4,2,2,2,2,2018
Burkina Faso,"Inflation, end of period consumer prices",Index,,Source: National Statistics Office Latest actual data: 2018 Harmonized prices: No Frequency of source data: Monthly Base year: 2008 Primary domestic currency: CFA franc Data last updated: 08/2019,35.817,38.16,43.282,44.472,47.805,48.281,46.575,47.964,48.995,49.788,49.114,48.678,48.598,49.909,64.427,66.966,71.608,74.6,75.325,75.821,77.647,78.405,81.49,84.069,84.651,88.436,89.788,91.823,102.455,100.565,100.303,105.378,107.142,107.271,107.111,108.476,106.703,108.915,109.281,111.467,113.696,115.97,118.29,120.655,123.069,2018
Burkina Faso,"Inflation, end of period consumer prices",Percent change,,"See notes for:  Inflation, end of period consumer prices (Index).",n/a,6.543,13.423,2.75,7.493,0.996,-3.533,2.981,2.151,1.619,-1.355,-0.889,-0.163,2.696,29.091,3.941,6.931,4.178,0.972,0.659,2.409,0.976,3.935,3.165,0.692,4.472,1.528,2.267,11.578,-1.844,-0.261,5.06,1.674,0.12,-0.149,1.274,-1.635,2.074,0.336,2,2,2,2,2,2,2018
Burkina Faso,Current account balance,U.S. dollars,Billions,"Source: Central Bank Latest actual data: 2017 BOP Manual used: Balance of Payments and International Investment Position Manual, sixth edition (BPM6) Primary domestic currency: CFA franc Data last updated: 08/2019",-0.049,-0.042,-0.092,-0.06,-0.003,-0.063,-0.018,-0.05,-0.047,0.099,-0.077,-0.091,-0.023,-0.071,0.015,-0.092,-0.211,-0.223,-0.208,-0.337,-0.319,-0.291,-0.3,-0.368,-0.532,-0.635,-0.544,-0.561,-0.967,-0.381,-0.182,-0.16,-0.162,-1.346,-0.999,-0.895,-0.78,-0.896,-0.817,-0.839,-0.637,-0.599,-0.648,-0.722,-0.821,2017
Burkina Faso,Current account balance,Percent of GDP,,"See notes for:  Gross domestic product, current prices (National currency) Current account balance (U.S. dollars).",-2.297,-2.281,-5.355,-3.825,-0.246,-4.057,-0.886,-2.101,-1.779,3.795,-2.481,-2.889,-0.685,-2.224,0.787,-3.875,-8.154,-9.094,-7.428,-11.198,-12.106,-10.268,-9.311,-8.738,-10.979,-11.609,-9.37,-8.27,-11.507,-4.541,-2.021,-1.494,-1.454,-11.255,-8.06,-8.59,-7.175,-7.251,-5.778,-5.747,-4.021,-3.471,-3.447,-3.53,-3.683,2017
Burundi,Implied PPP conversion rate,National currency per current international dollar,,"See notes for:  Gross domestic product, current prices (National currency).",61.432,52.07,52.348,53.112,59.918,60.971,57.68,54.393,53.269,59.389,59.725,59.743,61.539,64.767,67.622,76.898,86.424,110.243,121.491,144.436,178.461,199.347,202.314,214.339,238.586,265.866,265.399,279.839,340.973,372.534,401.112,425.768,477.463,526.001,561.109,601.802,661.653,734.458,753.844,805.981,859.258,915.663,991.509,"1,084.23","1,186.07",2015
Burundi,"Inflation, average consumer prices",Index,,"Source: National Statistics Office Latest actual data: 2017 Harmonized prices: No. The data cover only the national capital, Bujumbura. Frequency of source data: Monthly Base year: 2013. 41275 Primary domestic currency: Burundi franc Data last updated: 08/2019",3.457,3.878,4.105,4.44,5.075,5.269,5.357,5.737,5.995,6.694,7.162,7.808,8.224,9.023,10.35,12.354,15.618,20.469,23.022,23.832,29.915,32.269,31.863,35.232,38.113,43.164,44.349,48.079,59.814,66.128,70.424,77.173,91.2,98.439,102.787,108.495,114.492,133.546,135.2,145.089,158.11,172.299,187.761,204.612,222.974,2017
Burundi,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",1.2,12.178,5.854,8.158,14.301,3.821,1.668,7.108,4.49,11.667,6.991,9.011,5.328,9.714,14.713,19.361,26.416,31.063,12.471,3.522,25.523,7.868,-1.258,10.574,8.177,13.253,2.744,8.412,24.407,10.557,6.496,9.583,18.176,7.938,4.417,5.553,5.527,16.643,1.238,7.315,8.974,8.974,8.974,8.974,8.974,2017
Burundi,"Inflation, end of period consumer prices",Index,,"Source: National Statistics Office Latest actual data: 2017 Harmonized prices: No. The data cover only the national capital, Bujumbura. Frequency of source data: Monthly Base year: 2013. 41275 Primary domestic currency: Burundi franc Data last updated: 08/2019",3.508,3.894,4.206,4.427,5.532,5.226,5.458,5.73,6.037,6.761,7.487,8.111,8.397,9.701,10.978,13.082,17.972,22.754,22.478,27.205,31.039,32.183,33.239,36.846,41.292,41.736,45.493,52.178,65.574,68.609,71.409,82.017,91.728,100,103.745,111.144,121.7,134.535,141.686,154.401,168.258,183.357,199.812,217.744,237.285,2017
Burundi,"Inflation, end of period consumer prices",Percent change,,"See notes for:  Inflation, end of period consumer prices (Index).",n/a,10.986,8.013,5.261,24.966,-5.535,4.432,4.985,5.359,12.002,10.732,8.338,3.522,15.532,13.157,19.169,37.384,26.604,-1.21,21.027,14.093,3.685,3.28,10.854,12.067,1.075,9.001,14.694,25.674,4.629,4.082,14.855,11.841,9.017,3.745,7.132,9.498,10.546,5.315,8.974,8.974,8.974,8.974,8.974,8.974,2017
Burundi,Current account balance,U.S. dollars,Billions,"Source: Central Bank. Some data are staff estimates Latest actual data: 2016 BOP Manual used: Balance of Payments and International Investment Position Manual, sixth edition (BPM6) Primary domestic currency: Burundi franc Data last updated: 08/2019",-0.083,-0.067,-0.127,-0.133,-0.118,-0.041,-0.036,-0.095,-0.07,-0.011,-0.069,-0.033,-0.06,-0.028,-0.017,0.01,-0.04,0.006,-0.044,-0.039,-0.061,-0.031,-0.022,-0.025,-0.058,-0.055,-0.273,-0.073,-0.016,0.03,-0.248,-0.323,-0.434,-0.497,-0.544,-0.531,-0.411,-0.418,-0.459,-0.451,-0.443,-0.441,-0.423,-0.415,-0.409,2016
Burundi,Current account balance,Percent of GDP,,"See notes for:  Gross domestic product, current prices (National currency) Current account balance (U.S. dollars).",-8.777,-6.807,-12.195,-12.022,-11.723,-3.528,-2.934,-8.201,-6.437,-1.016,-6.141,-2.851,-5.508,-2.997,-1.827,1.045,-4.608,0.631,-4.906,-4.453,-7.019,-3.508,-2.606,-3.18,-6.324,-4.906,-21.464,-5.358,-0.975,1.718,-12.202,-14.439,-18.579,-19.311,-18.539,-17.684,-13.085,-12.32,-13.359,-12.611,-11.939,-11.428,-10.377,-9.531,-8.814,2015
Cabo Verde,Implied PPP conversion rate,National currency per current international dollar,,"See notes for:  Gross domestic product, current prices (National currency).",27.182,27.213,30.09,32.017,33.614,33.779,38.973,40.82,41.568,41.412,40.868,41.436,41.803,45.385,47.584,48.754,49.693,50.008,51.151,53.952,51.409,50.966,50.011,49.972,48.359,47.192,47.202,47.217,47.959,48.631,48.314,48.592,47.941,47.787,46.85,47.172,46.581,46.033,45.624,45.498,45.306,45.097,45.025,44.94,44.862,2018
Cabo Verde,"Inflation, average consumer prices",Index,,Source: National Statistics Office Latest actual data: 2018 Harmonized prices: No Frequency of source data: Monthly Base year: 2018 Primary domestic currency: Cabo Verde escudo Data last updated: 09/2019,14.371,17.343,21.007,25.241,27.684,29.312,32.569,33.79,35.012,36.64,40.711,43.8,49.682,52.577,54.336,58.906,62.446,67.801,70.783,73.858,72.083,74.731,76.165,77.07,75.612,75.94,79.618,83.116,88.747,89.638,91.497,95.59,98.021,99.497,99.259,99.401,97.974,98.741,100,101.204,102.823,104.468,106.348,108.263,110.211,2018
Cabo Verde,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",15.071,20.68,21.127,20.155,9.677,5.882,11.111,3.75,3.614,4.651,11.111,7.587,13.429,5.828,3.344,8.41,6.01,8.574,4.399,4.344,-2.403,3.674,1.918,1.188,-1.891,0.434,4.842,4.394,6.774,1.005,2.074,4.473,2.543,1.506,-0.238,0.143,-1.436,0.783,1.275,1.204,1.6,1.6,1.8,1.8,1.8,2018
Cabo Verde,"Inflation, end of period consumer prices",Index,,Source: National Statistics Office Latest actual data: 2018 Harmonized prices: No Frequency of source data: Monthly Base year: 2018 Primary domestic currency: Cabo Verde escudo Data last updated: 09/2019,15.495,18.698,22.766,26.835,29.432,31.163,34.626,35.924,37.223,38.954,43.282,47.876,54.536,56.92,59.167,62.543,68.238,68.508,74.237,73.071,72.318,75.617,77.872,76.095,75.868,77.203,81.691,84.45,90.063,89.782,92.87,96.153,100.134,100.199,99.86,99.335,99.087,99.353,100.35,101.363,102.985,104.633,106.516,108.434,110.385,2018
Cabo Verde,"Inflation, end of period consumer prices",Percent change,,"See notes for:  Inflation, end of period consumer prices (Index).",n/a,20.67,21.759,17.871,9.677,5.882,11.111,3.75,3.614,4.651,11.111,10.614,13.91,4.373,3.946,5.706,9.106,0.395,8.362,-1.569,-1.032,4.562,2.983,-2.281,-0.298,1.759,5.813,3.378,6.646,-0.311,3.44,3.534,4.14,0.065,-0.339,-0.525,-0.25,0.269,1.003,1.01,1.6,1.6,1.8,1.8,1.8,2018
Cabo Verde,Current account balance,U.S. dollars,Billions,"Source: National Statistics Office Latest actual data: 2018 BOP Manual used: Balance of Payments and International Investment Position Manual, sixth edition (BPM6) Primary domestic currency: Cabo Verde escudo Data last updated: 09/2019",-0.071,-0.024,-0.013,-0.012,-0.007,-0.005,0.002,0.014,-0.006,-0.026,-0.018,-0.017,-0.02,-0.033,-0.046,-0.062,-0.035,-0.03,-0.058,-0.082,-0.059,-0.06,-0.069,-0.091,-0.132,-0.034,-0.06,-0.196,-0.245,-0.25,-0.207,-0.304,-0.221,-0.09,-0.169,-0.051,-0.065,-0.117,-0.089,-0.088,-0.09,-0.096,-0.096,-0.096,-0.103,2018
Cabo Verde,Current account balance,Percent of GDP,,"See notes for:  Gross domestic product, current prices (National currency) Current account balance (U.S. dollars).",-45.327,-15.345,-8.469,-7.878,-4.786,-3.404,0.939,5.316,-2.134,-8.951,-5.335,-4.808,-5.165,-8.305,-10.217,-11.491,-6.341,-5.507,-10.088,-12.558,-9.938,-9.711,-10.183,-10.181,-12.951,-3.119,-4.837,-12.943,-13.714,-14.629,-12.427,-16.287,-12.593,-4.87,-9.082,-3.18,-3.904,-6.596,-4.492,-4.359,-4.168,-4.137,-3.864,-3.594,-3.574,2018
Cameroon,Implied PPP conversion rate,National currency per current international dollar,,"See notes for:  Gross domestic product, current prices (National currency).",157.688,156.78,166.032,180.183,197.486,212.761,208.898,198.991,193.864,183.059,179.465,179.705,173.364,172.685,193.383,207.367,209.296,213.005,218.648,220.435,226.859,225.233,225.809,222.126,220.599,215.538,216.233,212.593,222.327,224.275,225.925,227.212,228.89,229.535,230.09,228.125,228.259,227.361,225.503,223.659,221.889,220.63,219.657,219.076,218.436,2017
Cameroon,"Inflation, average consumer prices",Index,,Source: National Statistics Office Latest actual data: 2018 Harmonized prices: Yes Frequency of source data: Monthly Base year: 1993. re-weighting of consumption basket on various occasions since 1993 Primary domestic currency: CFA franc Data last updated: 09/2019,53.27,57.29,66.07,79.62,89.25,93,97,99.71,101.41,103.03,104.58,103.95,105.91,101.97,114.88,144.525,150.192,157.375,162.375,165.35,167.408,174.858,179.783,180.917,181.369,184.983,194.058,196.242,206.717,213,215.725,222.067,227.357,232.018,236.317,242.694,244.812,246.383,249.011,254.296,259.98,265.439,270.73,276.108,281.593,2018
Cameroon,"Inflation, average consumer prices",Percent change,,"See notes for:  Inflation, average consumer prices (Index).",7.681,7.546,15.326,20.509,12.095,4.202,4.301,2.794,1.705,1.597,1.504,-0.602,1.886,-3.72,12.661,25.805,3.921,4.783,3.177,1.832,1.245,4.45,2.817,0.63,0.25,1.993,4.906,1.125,5.338,3.04,1.279,2.94,2.382,2.05,1.853,2.698,0.873,0.642,1.066,2.122,2.235,2.1,1.993,1.986,1.986,2018
Cameroon,"Inflation, end of period consumer prices",Index,,Source: National Statistics Office Latest actual data: 2018 Harmonized prices: Yes Frequency of source data: Monthly Base year: 1993. re-weighting of consumption basket on various occasions since 1993 Primary domestic currency: CFA franc Data last updated: 09/2019,48.92,51.15,58.02,65.88,76.81,79.62,86.42,102.75,100.82,100.82,100.08,99.85,100.6,96.52,129.13,150.1,151.3,158.3,167.7,166.9,169.4,177.8,182,181.9,183.733,190.1,194.7,201.4,212.1,214.1,219.6,225.6,231.3,235.12,241.2,244.775,245.489,247.419,252.306,258.033,263.71,268.984,274.327,279.777,285.334,2018
Cameroon,"Inflation, end of period consumer prices",Percent change,,"See notes for:  Inflation, end of period consumer prices (Index).",n/a,4.558,13.431,13.547,16.591,3.658,8.541,18.896,-1.878,0,-0.734,-0.23,0.751,-4.056,33.786,16.239,0.799,4.627,5.938,-0.477,1.498,4.959,2.362,-0.055,1.008,3.465,2.42,3.441,5.313,0.943,2.569,2.732,2.527,1.652,2.586,1.482,0.292,0.786,1.975,2.27,2.2,2,1.986,1.986,1.986,2018
Cameroon,Current account balance,U.S. dollars,Billions,"Source: Ministry of Finance Latest actual data: 2017 Notes: The percent changes in 2002 are calculated over a period of 18 months, reflecting a change in the fiscal year cycle (from July-June to January-December). BOP Manual used: Balance of Payments and International Investment Position Manual, sixth edition (BPM6) Primary domestic currency: CFA franc Data last updated: 09/2019",-0.445,-0.482,-0.386,-0.412,-0.169,-0.562,-0.452,-0.893,-0.426,-0.29,-0.551,-0.336,-0.366,-0.512,-0.056,0.09,-0.287,-0.582,-0.151,-0.509,-0.218,-0.347,-0.437,-0.597,-0.415,-0.495,0.193,0.286,-0.45,-1.119,-0.856,-0.748,-0.956,-1.128,-1.4,-1.173,-1.037,-0.949,-1.427,-1.417,-1.42,-1.442,-1.565,-1.6,-1.714,2017
Cameroon,Current account balance,Percent of GDP,,"See notes for:  Gross domestic product, current prices (National currency) Current account balance (U.S. dollars).",-5.437,-5.19,-4.334,-4.591,-1.781,-5.67,-3.5,-5.971,-2.809,-2.141,-4.067,-2.221,-2.641,-3.545,-0.57,0.963,-2.758,-5.54,-1.437,-4.763,-2.223,-3.347,-3.773,-4.098,-2.382,-2.756,0.998,1.276,-1.696,-4.287,-3.269,-2.548,-3.283,-3.485,-4,-3.793,-3.178,-2.713,-3.686,-3.667,-3.496,-3.315,-3.349,-3.181,-3.155,2017
Central African Republic,Implied PPP conversion rate,National currency per current international dollar,,"See notes for:  Gross domestic product, current prices (National currency).",166.695,174.612,187.98,203.307,195.969,249.62,231.965,212.411,211.693,207.995,198.83,189.649,186.01,178.256,200.491,225.077,217.284,224.793,230.445,232.539,227.535,232.215,232.652,235.613,230.091,233.467,233.375,228.554,236.506,243.798,251.138,255.862,266.564,268.485,294.96,299.823,305.597,319.274,315.84,318.104,319.913,321.456,323.269,325.023,326.487,2017
